name,state_abbr,lat,long,pop_estimate_2022,county_fips,division,full_name,place_fips,sum_lev,lsadc,display_name,address,url
"Bishopville","SC","34.22007","-80.2473698","3024","","5","Bishopville city","6310","160","25","City of Bishopville","135 E Church St, Bishopville, SC 29010, USA","https://cityofbishopvillesc.com/city-hall"
"Blacksburg","VA","37.2312641","-80.4267452","44826","","5","Blacksburg town","07784","160","43","Town of Blacksburg","300 S Main St, Blacksburg, VA 24060, USA","https://www.blacksburg.gov"
"Bland","VA","37.1306124","-81.1258532","6270","21","5","Bland County","","50","06","Bland County","612 Main St, Bland, VA 24315, USA","https://www.blandcountyva.gov"
"Blountsville","AL","34.0758377","-86.5839177","1826","","6","Blountsville town","07456","160","43","Town of Blountsville","10017 Lee St W, Blountsville, AL 35031, USA","https://blountsvilleal.com"
"Bluefield","VA","37.2352251","-81.2746595","5096","","5","Bluefield town","08152","160","43","Town of Bluefield","112 Huffard Dr, Bluefield, VA 24605, USA","http://www.bluefieldva.org"
"Blythewood","SC","34.2092466","-80.9952926","4772","","5","Blythewood town","07255","160","43","Town of Blythewood","Hoffman House, 171 Langford Rd, Blythewood, SC 29016, USA","http://www.townofblythewoodsc.gov/"
"Boaz","AL","34.1990204","-86.1551515","10107","","6","Boaz city","7912","160","25","City of Boaz","112 N Broad St, Boaz, AL 35957, USA","https://www.cityofboaz.org/"
"Boise City","ID","43.6002334","-116.2298","235684","","8","Boise City city","8830","160","25","City of Boise City","150 N Capitol Blvd, Boise, ID 83702, USA","http://www.cityofboise.org/"
"Boston","MA","42.3385513","-71.018253","675647","","1","Boston city","7000","160","25","City of Boston","1 City Hall Square, Boston, MA 02201, USA","https://www.boston.gov/"
"Botetourt","VA","37.5654822","-79.7975457","33596","23","5","Botetourt County","","50","06","Botetourt County","57 S Center Dr, Daleville, VA 24083, USA","https://www.botetourtva.gov"
"Boulder","CO","40.0245328","-105.2527552","108250","","8","Boulder city","7850","160","25","City of Boulder","3170 Broadway, Boulder, CO 80304, USA","https://bouldercolorado.gov/"
"Brent","AL","32.9448933","-87.1720877","2972","","6","Brent city","9136","160","25","City of Brent","","http://www.cityofbrentalabama.com"
"Brewton","AL","31.1091749","-87.0765833","5276","","6","Brewton city","9208","160","25","City of Brewton","","http://www.cityofbrewton.org"
"Bridgewater","VA","38.3884912","-78.9644518","6596","","5","Bridgewater town","09656","160","43","Town of Bridgewater","201 Green St, Bridgewater, VA 22812, USA","https://bridgewater.town"
"Brighton","MI","42.5297049","-83.7845453","7446","","3","Brighton city","10620","160","25","City of Brighton","200 N 1st St, Brighton, MI 48116, USA","http://www.brightoncity.org/"
"Brilliant","AL","34.0256705","-87.7690468","845","","6","Brilliant town","09424","160","43","Town of Brilliant","1275 Main St, Brilliant, AL 35548, USA","https://brilliantal.org"
"Bristol","VA","36.6169541","-82.1575641","17219","","5","Bristol city","9816","160","25","City of Bristol","300 Lee St Suite 202, Bristol, VA 24201, USA","https://www.bristolva.org/"
"Broadway","VA","38.6084852","-78.8013657","4170","","5","Broadway town","10040","160","43","Town of Broadway","116 Broadway Ave, Broadway, VA 22815, USA","http://www.town.broadway.va.us"
"Brookside","AL","33.6346166","-86.9063142","1253","","6","Brookside town","09736","160","43","Town of Brookside","2711 Municipal Dr, Brookside, AL 35036, USA","http://www.brooksidealabama.com"
"Brookwood","AL","33.2398424","-87.331488","2504","","6","Brookwood town","09808","160","43","Town of Brookwood","15689 AL-216, Brookwood, AL 35444, USA",""
"Brundidge","AL","31.7176386","-85.8175502","2073","","6","Brundidge city","10240","160","25","City of Brundidge","200 N Main St, Brundidge, AL 36010, USA","https://brundidge.org"
"Brunswick","VA","36.7642043","-77.8614832","15849","25","5","Brunswick County","","50","06","Brunswick County","228 N Main St, Lawrenceville, VA 23868, USA","https://www.brunswickco.com/"
"Buchanan","VA","37.2681198","-82.0381508","20355","27","5","Buchanan County","","50","06","Buchanan County","","https://buchanancountyvirginia.gov/"
"Buckingham","VA","37.573928","-78.5291687","16824","29","5","Buckingham County","","50","06","Buckingham County","13380 W James Anderson Hwy, Buckingham, VA 23921, USA","https://www.buckinghamcountyva.org/"
"Burnettown","SC","33.5210735","-81.8646549","3105","","5","Burnettown town","10270","160","43","Town of Burnettown","","https://www.burnettown.com/"
"Calera","AL","33.1223194","-86.7456439","16494","","6","Calera city","11416","160","25","City of Calera","","https://cityofcalera.org/"
"Calhoun","SC","33.6747804","-80.7803468","14119","17","5","Calhoun County","","50","06","Calhoun County","102 Courthouse Dr #108, St Matthews, SC 29135, USA","https://calhouncounty.sc.gov/"
"California","CA","37.1551773","-119.5434183","39538223","","9","California","","40","00","California","","https://www.ca.gov/"
"Camden","SC","34.2589305","-80.6092024","7788","","5","Camden city","10855","160","25","City of Camden","","http://www.cityofcamden.org/"
